OrderDate,Quantity,Combining_Duplicates,
2020-06-30,1,36.91,
2020-07-03,1,105.45,
2020-07-05,1,83.32,
2020-07-07,1,39.45,
2020-07-08,1,93.63,
2020-07-09,1,26.36,
2020-07-10,1,258.94,
2020-07-11,1,22.97,
2020-07-15,1,34.8,
2020-07-19,1,63.81,
2020-07-21,1,34.77,
2020-07-23,1,46.06,
2020-07-24,1,31.11,
2020-07-27,1,59.22,
2020-07-29,1,123.21,
2020-07-30,1,20.74,
2020-08-02,1,154.53,
2020-08-03,1,5.26,
2020-08-04,1,162.27,
2020-08-05,1,68.63,
2020-08-06,1,31.62,
2020-08-07,1,52.74,
2020-08-08,1,312.75,
2020-08-12,1,106.94,
2020-08-20,1,31.64,
2020-08-21,1,10.54,
2020-08-28,1,388.66,
2020-08-30,1,50.31,
2020-09-01,1,88.59,
2020-09-02,1,413.06,
2020-09-06,1,15.81,
2020-09-07,1,29.98,
2020-09-08,1,31.25,
2020-09-09,1,72.55,
2020-09-11,1,15.77,
2020-09-12,1,48.9,
2020-09-13,1,15.75,
2020-09-16,1,23.2,
2020-09-23,1,37.88,
2020-09-25,1,73.73,
2020-09-27,1,20.03,
2020-09-28,1,17.88,
2020-09-30,1,30.58,
2020-10-04,1,148.38,
2020-10-06,1,23.32,
2020-10-13,1,127.62,
2020-10-14,1,210.93,
2020-10-16,1,49.48,
2020-10-18,1,38.16,
2020-10-20,1,31.64,
2020-10-22,1,86.27,
2020-10-26,1,132.29,
2020-10-27,1,336.13,
2020-10-28,1,288.84,
2020-10-29,1,189.33,
2020-10-31,1,174.83,
2020-11-04,1,133.22,
2020-11-05,1,7.37,
2020-11-07,1,63.21,
2020-11-08,1,63.75,
2020-11-11,1,59.89,
2020-11-13,1,94.94,
2020-11-15,1,60.55,
2020-11-16,1,106.28,
2020-11-17,1,8.39,
2020-11-18,1,137.61,
2020-11-20,1,107.28,
2020-11-23,1,73.84,
2020-11-27,1,45.54,
2020-11-28,1,170.66,
2020-11-29,1,147.17,
2020-11-30,1,219.12,
2020-12-01,1,63.29,
2020-12-02,1,9.48,
2020-12-04,1,137.47,
2020-12-05,1,56.93,
2020-12-07,1,254.23,
2020-12-09,1,27.89,
2020-12-10,1,10.54,
2020-12-13,1,51.18,
2020-12-14,1,51.98,
2020-12-15,1,4.08,
2020-12-17,1,97.19,
2020-12-19,1,50.23,
2020-12-20,1,46.37,
2020-12-21,2,91.76,
2020-12-22,1,25.06,
2021-01-08,1,21.44,
2021-01-09,1,15.38,
2021-01-16,1,19.34,
2021-01-17,1,10.54,
2021-01-20,1,174.61,
2021-01-22,1,126.59,
2021-01-23,1,52.7,
2021-01-25,1,28.45,
2021-01-29,1,51.04,
2021-01-31,1,7.91,
2021-02-03,1,250.2,
2021-02-06,1,42.43,
2021-02-11,1,135.66,
2021-02-13,1,24.17,
2021-02-14,1,120.28,
2021-02-16,1,10.64,
2021-02-17,1,89.66,
2021-02-19,1,30.37,
2021-02-20,2,158.97,
2021-02-26,1,16.7,
2021-02-28,1,16.87,
2021-03-01,1,24.25,
2021-03-02,1,78.69,
2021-03-08,1,8.06,
2021-03-13,1,21.09,
2021-03-19,1,42.04,
2021-03-20,1,84.35,
2021-03-21,1,5.26,
2021-03-22,1,9.53,
2021-03-28,1,6.32,
2021-03-29,1,23.75,
2021-04-01,1,130.56,
2021-04-03,1,24.63,
2021-04-10,1,76.73,
2021-04-17,1,50,
2021-04-24,1,48.55,
2021-05-01,1,8.79,
2021-05-02,1,7.89,
2021-05-10,2,140.23,
2021-05-14,1,40.76,
2021-05-16,1,21.09,
2021-05-21,1,56.54,
2021-05-22,1,56.07,
2021-05-23,1,9.21,
2021-05-24,1,176.19,
2021-05-27,1,139.26,
2021-05-30,1,22.53,
2021-06-02,1,14.52,
2021-06-03,1,25.29,
2021-06-06,1,93.79,
2021-06-13,2,16.78,
2021-06-19,1,262.89,
2021-06-21,1,418.54,
2021-06-22,1,48.46,
2021-06-24,1,21.09,
2021-06-26,1,40.57,
2021-06-27,1,8.35,
