OrderDate,Quantity
9/14/2018,1
9/15/2018,1
9/16/2018,1
9/20/2018,2
9/20/2018,1
9/20/2018,1
9/24/2018,1
9/24/2018,1
9/25/2018,1
10/7/2018,1
10/7/2018,1
10/7/2018,1
10/7/2018,1
10/11/2018,1
10/20/2018,1
10/20/2018,1
10/22/2018,1
10/31/2018,1
11/1/2018,1
11/1/2018,1
11/1/2018,1
11/1/2018,1
11/2/2018,1
11/2/2018,1
11/3/2018,2
11/3/2018,2
11/4/2018,1
11/9/2018,1
11/15/2018,1
11/15/2018,1
11/15/2018,1
11/15/2018,1
11/17/2018,1
11/17/2018,1
11/18/2018,1
11/18/2018,1
11/20/2018,1
11/20/2018,1
11/20/2018,1
11/22/2018,1
11/22/2018,1
11/22/2018,1
11/22/2018,1
11/23/2018,1
11/24/2018,1
11/24/2018,1
11/24/2018,1
11/24/2018,1
11/27/2018,1
11/28/2018,1
12/1/2018,1
12/1/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,2
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/3/2018,1
12/6/2018,1
12/6/2018,1
12/6/2018,1
12/9/2018,1
12/10/2018,1
12/10/2018,1
12/10/2018,1
12/10/2018,1
12/10/2018,1
12/11/2018,2
12/11/2018,2
12/11/2018,1
12/11/2018,1
12/11/2018,1
12/11/2018,1
12/12/2018,1
12/12/2018,1
12/12/2018,1
12/15/2018,1
12/15/2018,1
12/15/2018,1
12/15/2018,1
12/16/2018,1
12/16/2018,1
12/16/2018,1
12/16/2018,1
12/19/2018,1
12/22/2018,1
12/26/2018,1
12/29/2018,1
12/31/2018,1
12/31/2018,1
12/31/2018,1
1/1/2019,1
1/5/2019,1
1/5/2019,1
1/5/2019,1
1/5/2019,1
1/5/2019,1
1/5/2019,1
1/6/2019,1
1/6/2019,1
1/11/2019,1
1/13/2019,1
1/13/2019,1
1/13/2019,1
1/19/2019,1
1/20/2019,1
1/30/2019,1
2/5/2019,1
2/5/2019,1
2/5/2019,1
2/5/2019,1
2/5/2019,1
2/8/2019,1
2/8/2019,1
2/8/2019,1
2/8/2019,1
2/8/2019,1
2/8/2019,1
2/8/2019,1
2/17/2019,1
2/18/2019,1
2/18/2019,1
2/18/2019,1
2/18/2019,1
2/18/2019,3
2/18/2019,1
2/18/2019,1
2/18/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/26/2019,1
2/27/2019,1
2/27/2019,1
2/27/2019,1
2/27/2019,1
3/1/2019,1
3/6/2019,1
3/8/2019,1
3/8/2019,1
3/8/2019,1
3/11/2019,1
3/14/2019,1
3/14/2019,1
3/14/2019,1
3/14/2019,1
3/14/2019,1
3/14/2019,1
3/28/2019,3
3/28/2019,5
3/28/2019,1
3/28/2019,1
3/28/2019,3
3/28/2019,1
3/29/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/8/2019,1
4/13/2019,1
4/22/2019,1
4/23/2019,1
4/23/2019,1
4/24/2019,1
4/24/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/29/2019,1
4/30/2019,3
5/2/2019,1
5/2/2019,1
5/4/2019,1
5/4/2019,1
5/4/2019,1
5/7/2019,1
5/7/2019,1
5/7/2019,1
5/8/2019,1
5/10/2019,1
5/10/2019,1
5/10/2019,1
5/10/2019,1
5/12/2019,1
5/12/2019,1
5/13/2019,1
5/13/2019,1
5/15/2019,1
5/15/2019,1
5/15/2019,1
5/15/2019,1
5/15/2019,1
5/15/2019,1
5/17/2019,1
5/17/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/18/2019,1
5/21/2019,1
5/21/2019,1
5/21/2019,1
5/22/2019,1
5/22/2019,1
5/25/2019,1
5/25/2019,1
5/25/2019,2
5/25/2019,1
5/27/2019,1
5/30/2019,1
5/30/2019,1
5/30/2019,1
6/3/2019,1
6/3/2019,1
6/3/2019,1
6/6/2019,1
6/6/2019,2
6/6/2019,1
6/6/2019,1
6/6/2019,2
6/6/2019,1
6/6/2019,1
6/6/2019,1
6/6/2019,2
6/6/2019,1
6/6/2019,1
6/6/2019,1
6/7/2019,1
6/7/2019,1
6/7/2019,1
6/10/2019,1
6/10/2019,1
6/13/2019,1
6/18/2019,1
6/18/2019,1
6/21/2019,1
6/22/2019,1
6/24/2019,1
6/25/2019,1
6/25/2019,1
6/25/2019,1
6/25/2019,1
6/25/2019,1
6/25/2019,1
6/25/2019,1
6/26/2019,1
6/27/2019,1
7/1/2019,1
7/1/2019,1
7/5/2019,3
7/5/2019,3
7/5/2019,1
7/6/2019,1
7/8/2019,1
7/10/2019,1
7/10/2019,1
7/10/2019,3
7/10/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,2
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/15/2019,1
7/16/2019,1
7/16/2019,1
7/16/2019,1
7/16/2019,1
7/17/2019,1
7/18/2019,1
7/19/2019,1
7/21/2019,6
7/21/2019,1
7/22/2019,1
7/22/2019,1
7/23/2019,1
7/27/2019,1
7/27/2019,1
8/4/2019,1
8/4/2019,1
8/4/2019,1
8/6/2019,1
8/6/2019,1
8/6/2019,1
8/6/2019,1
8/6/2019,1
8/6/2019,1
8/6/2019,2
8/6/2019,1
8/6/2019,1
8/6/2019,1
8/7/2019,1
8/9/2019,1
8/11/2019,3
8/11/2019,2
8/11/2019,1
8/17/2019,1
8/17/2019,1
8/17/2019,1
8/17/2019,1
8/17/2019,1
8/21/2019,1
9/3/2019,1
9/3/2019,1
9/4/2019,1
9/10/2019,1
9/11/2019,1
9/11/2019,1
9/12/2019,1
9/13/2019,1
9/13/2019,1
9/13/2019,1
9/13/2019,1
9/15/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,2
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/16/2019,1
9/18/2019,1
9/18/2019,1
9/22/2019,1
10/1/2019,1
10/2/2019,1
10/2/2019,1
10/2/2019,1
10/7/2019,1
10/7/2019,1
10/13/2019,1
10/13/2019,1
10/13/2019,1
10/26/2019,2
10/26/2019,2
10/26/2019,1
10/26/2019,1
10/27/2019,1
10/28/2019,1
10/28/2019,1
10/28/2019,1
10/28/2019,1
10/28/2019,1
10/28/2019,1
10/29/2019,1
10/30/2019,1
10/30/2019,1
11/2/2019,1
11/2/2019,1
11/2/2019,1
11/8/2019,1
11/8/2019,1
11/8/2019,1
11/8/2019,1
11/13/2019,2
11/25/2019,2
11/25/2019,1
11/25/2019,1
11/25/2019,1
11/25/2019,2
11/25/2019,1
11/25/2019,2
11/25/2019,1
11/25/2019,1
11/25/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
11/28/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/1/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/2/2019,1
12/5/2019,1
12/5/2019,1
12/5/2019,1
12/6/2019,2
12/6/2019,1
12/6/2019,1
12/6/2019,1
12/7/2019,1
12/7/2019,1
